goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-10     	      31	  35162457 ns/op	68002174 B/op	  444572 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-10     	      33	  34124168 ns/op	68002243 B/op	  444573 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-10     	      31	  34184199 ns/op	68002221 B/op	  444572 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-10     	      31	  54798042 ns/op	68002214 B/op	  444572 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-10     	      27	  38166003 ns/op	68002202 B/op	  444572 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-10     	      32	  38951935 ns/op	68002212 B/op	  444572 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-10     	      32	  40333315 ns/op	68004912 B/op	  444572 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-10     	      31	  38084042 ns/op	68002167 B/op	  444572 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-10     	      33	  34661021 ns/op	68002229 B/op	  444572 allocs/op
BenchmarkHashJoinIdentityHighFanout/keys500/fanout20-10     	      31	  34407411 ns/op	68002211 B/op	  444572 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-10       	     163	   7716176 ns/op	 5129435 B/op	  104126 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-10       	     166	   6907382 ns/op	 5129438 B/op	  104126 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-10       	     139	   7581217 ns/op	 5129418 B/op	  104126 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-10       	     164	   7226699 ns/op	 5129433 B/op	  104126 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-10       	     158	   7114371 ns/op	 5129434 B/op	  104126 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-10       	     169	   6894684 ns/op	 5129440 B/op	  104126 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-10       	     177	   6962028 ns/op	 5129423 B/op	  104126 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-10       	     170	   6857533 ns/op	 5129437 B/op	  104126 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-10       	     172	   7092559 ns/op	 5129432 B/op	  104126 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys10/reps100-10       	     168	   6905285 ns/op	 5129429 B/op	  104126 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-10        	     132	   9182128 ns/op	 6728306 B/op	  135486 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-10        	     130	   8886424 ns/op	 6728314 B/op	  135486 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-10        	     133	   9225914 ns/op	 6728316 B/op	  135486 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-10        	     128	  11270786 ns/op	 6728345 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-10        	     121	   9397678 ns/op	 6728340 B/op	  135487 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-10        	     129	   9177006 ns/op	 6728311 B/op	  135486 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-10        	     130	   9056800 ns/op	 6728327 B/op	  135486 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-10        	     132	   9117648 ns/op	 6728319 B/op	  135486 allocs/op
BenchmarkHashJoinIdentityDuplicates/keys50/reps50-10        	     130	   9166298 ns/op	 6728324 B/op	  135486 allocs/op
