goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/E_bound-10       	 2855986	       390.7 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/E_bound-10       	 3236017	       370.1 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/E_bound-10       	 3079108	       587.0 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/E_bound-10       	 2869424	       375.9 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/E_bound-10       	 3246787	       363.1 ns/op	    1355 B/op	      12 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/A_bound-10        	    1957	    628787 ns/op	 4199472 B/op	   10075 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/A_bound-10        	    1734	    713177 ns/op	 4200153 B/op	   10081 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/A_bound-10        	    1621	    697122 ns/op	 4200568 B/op	   10085 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/A_bound-10        	    1574	    669552 ns/op	 4200759 B/op	   10087 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/A_bound-10        	    1706	    657291 ns/op	 4200250 B/op	   10082 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/A_bound-10       	    1724	    648575 ns/op	 4200187 B/op	   10082 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/A_bound-10       	    1731	    672756 ns/op	 4200163 B/op	   10082 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/A_bound-10       	    1743	    655448 ns/op	 4200121 B/op	   10081 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/A_bound-10       	    1701	    659143 ns/op	 4200268 B/op	   10083 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/A_bound-10       	    1590	    657155 ns/op	 4200692 B/op	   10087 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/V_bound-10        	 2850663	       386.3 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/V_bound-10        	 3093168	       381.6 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/V_bound-10        	 3092449	       426.3 ns/op	    1371 B/op	      13 allocs/op
