goos: darwin
goarch: arm64
pkg: github.com/wbrown/janus-datalog/datalog/executor
cpu: Apple M5
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/V_bound-10        	 3238122	       368.8 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/V_bound-10        	 3247422	       378.9 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/V_bound-10        	 3135777	       378.1 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/V_bound-10        	 3167521	       371.2 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/V_bound-10       	 3237340	       370.1 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/V_bound-10       	 3160032	       386.3 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/V_bound-10       	 3110691	       382.7 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/V_bound-10       	 3104062	       464.9 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/V_bound-10       	 2991214	       415.9 ns/op	    1371 B/op	      13 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/Nothing_bound-10  	     404	   3150648 ns/op	19317757 B/op	   40280 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/Nothing_bound-10  	     403	   3113870 ns/op	19317820 B/op	   40281 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/Nothing_bound-10  	     396	   3055457 ns/op	19318280 B/op	   40285 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/Nothing_bound-10  	     394	   3058019 ns/op	19318414 B/op	   40286 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Linear/10000/Nothing_bound-10  	     398	   2865564 ns/op	19318146 B/op	   40284 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/Nothing_bound-10 	     435	   2683758 ns/op	19315906 B/op	   40262 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/Nothing_bound-10 	     442	   2720056 ns/op	19315524 B/op	   40259 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/Nothing_bound-10 	     435	   2698426 ns/op	19315907 B/op	   40262 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/Nothing_bound-10 	     436	   2684394 ns/op	19315851 B/op	   40262 allocs/op
BenchmarkPatternMatch_LinearVsIndexed/Indexed/10000/Nothing_bound-10 	     444	   2719303 ns/op	19315418 B/op	   40258 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100-10                          	   27525	     40878 ns/op	   85681 B/op	    1074 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100-10                          	   29240	     41116 ns/op	   85681 B/op	    1074 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100-10                          	   29220	     41040 ns/op	   85681 B/op	    1074 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100-10                          	   29326	     44007 ns/op	   85681 B/op	    1074 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100-10                          	   27037	     41063 ns/op	   85681 B/op	    1074 allocs/op
BenchmarkIndexBuildTime/BuildIndices_1000-10                         	    2716	    451965 ns/op	 1196182 B/op	   10118 allocs/op
BenchmarkIndexBuildTime/BuildIndices_1000-10                         	    2534	    463722 ns/op	 1196145 B/op	   10118 allocs/op
BenchmarkIndexBuildTime/BuildIndices_1000-10                         	    2638	    459663 ns/op	 1196184 B/op	   10118 allocs/op
BenchmarkIndexBuildTime/BuildIndices_1000-10                         	    2664	    461568 ns/op	 1196184 B/op	   10118 allocs/op
BenchmarkIndexBuildTime/BuildIndices_1000-10                         	    2516	    466762 ns/op	 1196183 B/op	   10118 allocs/op
BenchmarkIndexBuildTime/BuildIndices_10000-10                        	     282	   4288360 ns/op	10479363 B/op	  100426 allocs/op
BenchmarkIndexBuildTime/BuildIndices_10000-10                        	     283	   4243839 ns/op	10479363 B/op	  100426 allocs/op
BenchmarkIndexBuildTime/BuildIndices_10000-10                        	     213	   4833915 ns/op	10479365 B/op	  100426 allocs/op
BenchmarkIndexBuildTime/BuildIndices_10000-10                        	     283	   4215955 ns/op	10479364 B/op	  100426 allocs/op
BenchmarkIndexBuildTime/BuildIndices_10000-10                        	     286	   4268544 ns/op	10479363 B/op	  100426 allocs/op
BenchmarkIndexBuildTime/BuildIndices_100000-10                       	      18	  62979211 ns/op	91681907 B/op	 1002702 allocs/op
